,links,movie,cert,rateoc,rateou
337,high-noon,High Noon,Approved,89,8.4
338,rebel-without-a-cause,Rebel Without a Cause,TV-PG,89,7.6
339,letters-from-iwo-jima,Letters from Iwo Jima,R,89,8.2
340,the-seventh-continent,The Seventh Continent (1989),Unrated,89,tbd
341,a-woman-under-the-influence,A Woman Under the Influence,R,88,7.9
342,whiplash,Whiplash,R,88,8.9
343,ghost-world,Ghost World,R,88,8.1
344,once,Once,R,88,8.2
345,foreign-correspondent,Foreign Correspondent,TV-PG,88,tbd
346,the-arbor,The Arbor,Not Rated,88,7.6
347,long-days-journey-into-night,Long Day's Journey Into Night,Not Rated,88,7.1
348,richard-iii-1956,Richard III,Not Rated,88,tbd
349,democrats,Democrats,Not Rated,88,tbd
350,the-lion-king,The Lion King,G,88,8.8
351,4-little-girls,4 Little Girls,Not Rated,88,7.6
352,wild-strawberries,Wild Strawberries,Not Rated,88,7.9
353,crime-+-punishment,Crime + Punishment,Not Rated,88,tbd
354,the-seventh-seal,The Seventh Seal,TV-PG,88,8.4
355,how-green-was-my-valley,How Green Was My Valley,Passed,88,tbd
356,azor,Azor,Not Rated,88,tbd
357,y-tu-mama-tambien,Y Tu Mamá También,R,88,6.7
358,paddington-2,Paddington 2,PG,88,8.2
359,the-little-mermaid,The Little Mermaid,G,88,7.8
360,city-hall,City Hall,Not Rated,88,5.6
361,capote,Capote,R,88,7.7
362,the-death-of-stalin,The Death of Stalin,R,88,7.3
363,miracle-on-34th-street,Miracle on 34th Street,TV-G,88,7.7
364,strangers-on-a-train,Strangers on a Train,TV-PG,88,8.7
365,tulpan,Tulpan,Not Rated,88,6.3
366,manuscripts-dont-burn,Manuscripts Don't Burn,Not Rated,88,5.8
367,in-transit,In Transit,Not Rated,88,4.8
368,three-billboards-outside-ebbing-missouri,"Three Billboards Outside Ebbing, Missouri",R,88,7.8
369,quest-2017,Quest,Not Rated,88,6.5
370,au-revoir-les-enfants,Au Revoir les Enfants,PG,88,7.8
371,a-film-unfinished,A Film Unfinished,Unrated,88,7.7
372,things-to-come,Things to Come,Not Rated,88,6.9
373,the-grand-budapest-hotel,The Grand Budapest Hotel,R,88,8.4
374,great-freedom,Great Freedom,Unrated,88,tbd
375,winter-sleep,Winter Sleep,Not Rated,88,8.5
376,a-star-is-born,A Star Is Born,R,88,8.4
377,citizenfour,Citizenfour,Not Rated,88,7.6
378,time-out,Time Out,PG-13,88,6.9
379,the-blue-angel,The Blue Angel (re-release),Not Rated,88,7.8
380,thelma-louise,Thelma & Louise,R,88,8.2
381,away-from-her,Away from Her,PG-13,88,8.0
382,the-fallen-idol,The Fallen Idol (re-release),Not Rated,88,6.8
383,the-father,The Father,PG-13,88,8.6
384,fat-city,Fat City,PG,88,tbd
385,foxtrot,Foxtrot,Not Rated,88,7.3
386,howards-end,Howards End,PG,88,8.1
387,the-innocents,The Innocents,Approved,88,6.5
388,inside-job,Inside Job,PG-13,88,8.4
389,sweet-country,Sweet Country,R,88,7.1
390,leave-no-trace,Leave No Trace,PG,88,7.6
391,three-colors-white,Three Colors: White,R,88,8.3
392,chicken-run,Chicken Run,G,88,8.0
393,the-kings-speech,The King's Speech,R,88,8.3
394,parallel-mothers,Parallel Mothers,Not Rated,88,7.4
395,hell-or-high-water,Hell or High Water,R,88,8.1
396,up,Up,PG,88,8.7
397,shirkers,Shirkers,Not Rated,88,7.5
398,mildred-pierce,Mildred Pierce,TV-PG,88,7.7
399,45365,45365,Not Rated,88,7.4
400,tootsie,Tootsie,PG,88,8.0
401,marooned-in-iraq,Marooned in Iraq,Not Rated,88,7.7
402,to-kill-a-mockingbird,To Kill a Mockingbird,TV-PG,88,8.5
403,aquarius,Aquarius,Not Rated,88,8.6
404,so-long-my-son,"So Long, My Son",Not Rated,88,tbd
405,apollo-11,Apollo 11,Not Rated,88,8.2
406,anomalisa,Anomalisa,R,88,7.5
407,toy-story-2,Toy Story 2,G,88,8.7
408,black-panther,Black Panther,PG-13,88,6.3
409,the-human-voice,The Human Voice,Not Rated,88,6.8
410,brooklyn,Brooklyn,PG-13,88,7.9
411,nobody-knows,Nobody Knows,PG-13,88,8.5
412,life-is-sweet,Life Is Sweet,R,88,7.0
413,faces,Faces,R,88,tbd
414,mary-poppins,Mary Poppins,G,88,8.1
415,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,PG-13,87,9.0
416,lenfant,L'Enfant (The Child),R,87,8.6
417,jane-fonda-in-five-acts,Jane Fonda in Five Acts,TV-14,87,5.8
418,the-conversation,The Conversation,PG,87,8.5
419,newtown,Newtown,Not Rated,87,8.3
420,poetry,Poetry,Unrated,87,8.0
421,restless-creature-wendy-whelan,Restless Creature: Wendy Whelan,Not Rated,87,4.0
422,birdman,Birdman or (The Unexpected Virtue of Ignorance),R,87,8.2
423,little-women,Little Women,PG,87,7.7
424,shakespeare-in-love,Shakespeare in Love,R,87,7.1
425,the-awful-truth,The Awful Truth,Passed,87,8.0
426,can-you-ever-forgive-me,Can You Ever Forgive Me?,R,87,7.6
427,wolfwalkers,Wolfwalkers,PG,87,8.7
428,it-happened-one-night,It Happened One Night,Approved,87,8.3
429,the-body-remembers-when-the-world-broke-open,The Body Remembers When the World Broke Open,TV-MA,87,tbd
430,the-missing-picture,The Missing Picture,Not Rated,87,7.6
431,i-travel-because-i-have-to-i-come-back-because-i-love-you,"I Travel Because I Have to, I Come Back Because I Love You",Not Rated,87,7.6
432,the-invisible-man-1933,The Invisible Man,TV-PG,87,7.4
433,scarface-1932,Scarface,Passed,87,5.5
434,of-men-and-war,Of Men and War,Not Rated,87,8.3
435,the-long-goodbye,The Long Goodbye,R,87,7.3
436,imitation-of-life,Imitation of Life,TV-PG,87,tbd
437,pain-and-glory,Pain and Glory,Not Rated,87,8.0
438,gencse-genesis,Genèse (Genesis),Not Rated,87,tbd
439,the-farthest,The Farthest,Not Rated,87,6.7
440,gomorrah,Gomorrah,Not Rated,87,7.2
441,days,Days,Not Rated,87,tbd
442,to-be-and-to-have,To Be and to Have,Not Rated,87,7.7
443,halloween-1978,Halloween,R,87,8.8
444,eraserhead,Eraserhead,Not Rated,87,7.7
445,the-velvet-underground,The Velvet Underground,R,87,7.5
446,medium-cool,Medium Cool,R,87,tbd
447,attica,Attica,Not Rated,87,6.3
448,can-you-bring-it-bill-t-jones-and-d-man-in-the-waters,Can You Bring It: Bill T. Jones and D-Man in the Waters,Not Rated,87,tbd
449,alcarrss,Alcarràs,Not Rated,87,tbd
450,fire-at-sea,Fire at Sea,Not Rated,87,7.0
451,the-fugitive,The Fugitive,PG-13,87,8.7
452,f-for-fake,F for Fake,PG,87,7.5
453,about-elly,About Elly (2009),Not Rated,87,8.6
454,the-bridge-on-the-river-kwai,The Bridge on the River Kwai,TV-PG,87,8.4
455,goldfinger,Goldfinger,GP,87,8.4
456,ma-raineys-black-bottom,Ma Rainey's Black Bottom,R,87,6.7
457,one-false-move,One False Move,R,87,7.8
458,en-el-septimo-dia-on-the-seventh-day,En el Séptimo Día (On the Seventh Day),Not Rated,87,7.5
459,jane,Jane,PG,87,8.3
460,jaws,Jaws,PG,87,8.7
461,we-are-the-best,We Are the Best!,Not Rated,87,7.5
462,spartacus,Spartacus,Approved,87,8.4
463,education,Small Axe: Education,Not Rated,87,6.9
464,about-endlessness,About Endlessness,Not Rated,87,6.3
465,back-to-the-future,Back to the Future,PG,87,9.0
466,hope,Hope,Not Rated,87,6.6
467,if-beale-street-could-talk,If Beale Street Could Talk,R,87,7.1
468,my-journey-through-french-cinema,My Journey Through French Cinema,Not Rated,87,4.1
469,wallace-gromit-the-curse-of-the-were-rabbit,Wallace & Gromit: The Curse of the Were-Rabbit,G,87,8.2
470,the-diary-of-a-teenage-girl,The Diary of a Teenage Girl,R,87,6.5
471,elena,Elena,Not Rated,87,7.5
472,all-is-lost,All Is Lost,PG-13,87,6.6
473,hereditary,Hereditary,R,87,6.6
474,listen-to-me-marlon,Listen to Me Marlon,Not Rated,87,8.3
